recipe_id,influencer,followers,date,media,likes,comments,ingredient_list,servings
3325543,HFI-2,63300,11/07/2022,video,1396,200,"1 large cucumber , 1150 g sushi rice , 2 tbsp rice vinegar ,  200 g vegan chicken pieces ,  100 g vegetable yogurt ,  1 tsp sambal ,  1/2 tsp garlic powder ,  1/2 tsp black pepper ,  pinch of salt ,  1 avocado ,  handful of sesame seeds",2
5494581,HFI-2,63300,07/07/2022,video,963,151,"1 green zucchini , 1 red bell pepper , 1 eggplant , 1 red onion , 2 tbsp olive oil , 1 tbsp Italian herbs , pinch of pepper , pinch of salt , 350 g orzo , 400 g brown lentils , 40 g pistachios , 1 handful of fresh mint, cup of pesto dressing",2
1526216,HFI-2,63300,03/07/2022,video,1553,200,"300 g cherry tomatoes ,  2 red peppers , 1 onion ,  3 cloves of garlic , 400g cannellini beans , 2 tbsp olive oil ,  1 tbsp capers ,  pinch of Pepper , pinch of salt ,  1 tbsp Italian herbs , 500g ravioli ,  1 tbsp red pesto ,  1 cube of vegetable stock ,  handful of pine nuts ,  handful of fresh basil",3
4537997,HFI-2,63300,01/07/2022,video,1451,210,"3 bananas , 1 jar of peanut butter , 100 g walnuts , 50 g dark chocolate paste",1
4454578,HFI-2,63300,29/06/2022,video,1106,188,"2 aubergines , 2 tbsp olive oil , 350 g wholemeal pasta penne , 1 onion , 3 cloves of garlic , 400g diced tomatoes , pinch of pepper , pinch of salt , 1 tsp cumin powder , 1 tbsp oregano , 2 tbsp tahini , 1/2 tsp garlic powder , 265g brown lentils",4
2649909,HFI-2,63300,27/06/2022,video,821,131,"250 g quinoa , 1 cucumber , 250 g cherry tomatoes , 1 mango , 4 spring onions , 1 yellow bell pepper , 2 avocados , 2 tbsp olive oil , 4 chili burgers , pinch of pepper , pinch of salt to , 1 lime , 100 g yogurt , 1 tsp garlic powder",4
7603168,HFI-2,63300,25/06/2022,video,1598,151,"1 green zucchini ,  1 red bell pepper , 3 tomatoes on the vine , 1/2 zucchini , 1 red onion , 2 tbsp olive oil ,  1 tbsp Italian herbs , pinch of pepper , pinch of salt , 250g tortellini , cup of pesto dressing",3
4360456,HFI-2,63300,22/06/2022,video,1176,153,"1 eggplant , 2 tbsp olive oil , 1 tbsp Italian herbs , Salt and pepper to taste , 300 g pearl couscous , 265 g brown lentils , 40 g almonds , 100 g pomegranate seeds , 100 g fresh spinach, finely chopped , 150 g yogurt",4
9138311,HFI-2,63300,19/06/2022,video,1524,197,"1 eggplant , 2 broccoli , 1 tbsp sweet soy sauce , 1 tsp apple cider vinegar , 25 ml soy sauce , 1 tsp garlic powder , 1 tsp ginger powder , 1/2 tsp black pepper , 1-2 tbsp sesame oil , 200 g quinoa , 250 g edamame beans , 200 g yogurt",3
8222490,HFI-2,63300,15/06/2022,video,734,154,"300 g brown skin rice , 1 onion , 2 cloves of garlic , dash of olive oil , 2 tbsp yellow curry paste , 275 g vegan chicken pieces , 2 tsp tandoori spice mix , 1 tsp paprika powder , dash of pepper , dash of salt , 400ml coconut milk , 1/2 cube vegetable stock , 250 g fresh spinach , 400 g chickpeas , 30 g almonds ",4
8520072,HFI-2,63300,12/06/2022,video,877,112,"1 pumpkin , splash of olive oil , salt and pepper to taste , 250 g cherry tomatoes , 1 red onion , 2 cloves of garlic , 1 tbsp Italian herbs , 200 g lentils orzo , 400 ml vegetable stock , 200 ml plant-based milk , handful of pine nuts , handful of fresh basil",3
5450535,HFI-2,63300,08/06/2022,video,984,150,"300 g quinoa , 400 g chickpeas, canned , 2 carrots , 2 parsnips , 1 zucchini , 1 sweet potato , dash of olive oil , pinch of pepper , pinch of salt , 1 tsp garlic powder , 2 tsp turmeric , 3 tbsp tahini , 3 tbsp olive oil , juice of 1/2 lemon , 100 g corn , 50 g cashew nuts",4
9588491,HFI-2,63300,06/06/2022,video,1091,175,"1 eggplant , 265 g chickpeas , 3 tbsp olive oil , 3 tbsp tahini , 1 tsp garlic powder , 1 tsp cumin powder , pinch of salt , pinch of pepper , 2 tbsp lemon juice",1
8387397,HFI-2,63300,04/06/2022,video,1236,172,"150 g oyster mushrooms , 2 tbsp soy sauce , splash of olive oil , 1 tsp gyros seasoning , 1 tsp smoked paprika powder , 1/2 red onion , 2 cloves of garlic , 125 g cooked quinoa , 200 g cherry tomatoes , 1/2 red bell pepper , 1/2 cucumber , 100 g chickpeas , 150 ml yogurt , â â â â â â â â â ",2
4613977,HFI-2,63300,02/06/2022,video,1222,159,"1 cauliflower , 400 g chickpeas , 3 tbsp olive oil , 1 tsp garlic powder , 1 tsp garam masala , 1 tsp black pepper , splash of olive oil , pinch of pepper , pinch of salt , 200 g fresh spinach , 75 g sun-dried tomato , 40 g pistachiosâ â â â â â â  , cup of avocado dressing",3
9032439,HFI-2,63300,29/06/2022,video,1056,154,"425 ml almond milk , 200 g oatmeal , 20 g cocoa powder , 50 g agave syrup , 75 g pistachio paste , 1 tbsp linseed , 1 tsp baking powder , pinch of salt , 50 g dark chocolate , 30 g pistachios",4
6383638,HFI-2,63300,27/06/2022,video,1065,159,"150 g fresh arugula , 125 g brown rice , 2 tbsp rice vinegar , 1/2 cucumber , 1 avocado , 1/2 red onion , 400 g beef ribs , 2 handfuls of pomegranate seeds , 20 g cashew nuts",2
1683912,HFI-2,63300,25/06/2022,video,2891,215,"300 g wholemeal couscous , 600 g chickpeas , 2 tbsp tomato puree , 2 tbsp soy sauce , 1 tsp ras el hanout , 1 tsp cinnamon , 2 tbsp tahini , 1 tsp garlic powder , juice of 1/2 lemon , 200 ml water , 400 g spinach",4
9741368,HFI-2,63300,23/06/2022,video,2425,235,"1 pointed cabbage , 1 onion, sliced , 3 cloves of garlic , 1/2 red pepper, finely chopped , 2 cm fresh ginger , 2 tbsp olive oil , 1 tsp sambal oelek , 2 tbsp soy sauce , 2 tbsp sweet soy sauce , 150 ml plant-based milk , 1 tbsp lemon juice , 3 slices of whole-wheat gingerbread , 500 g rice",4
5351726,HFI-2,63300,21/06/2022,video,1634,138,"1 cauliflower , 400 g chickpeas , 1 red onion , 2 tbsp tomato puree , 3 tbsp olive oil , 1 tbsp maple syrup , 3 tbsp soy sauce or tamari , 1 tsp garlic powder , 1 tsp onion powder , 1 tsp smoked paprika powder , 350 g quinoa , 250 g cherry tomatoes , 2 avocados , 2 spring onions",4
5766309,HFI-2,63300,18/06/2022,video,1479,139,"4 sweet potatoes , 600 g chickpeas , 2 tbsp olive oil , pinch of pepper , pinch of salt , 300 g baby spinach , 40 g pine nuts , cup of Caesar salad dressing",4
2684875,HFI-2,63300,16/06/2022,video,2011,172,"300 g orzo , 1 cauliflower , 2 carrots , 1/2 zucchini , 1 red onion , 1 red bell pepper , 1 yellow bell pepper , dash of olive oil , 1 tbsp Italian herbs , pinch of pepper , pinch of salt , 400g brown lentils, cup of hummus",4
3951002,HFI-2,63300,14/06/2022,video,1259,185,"4 sweet potatoes , 600 g tofu , 2 tbsp olive oil , 2 tbsp cornflour , 1 tbsp chicken seasoning , 500 g iceberg lettuce , 1 red onion , 1 cucumber, cup of garlic sauce",4
2638243,HFI-3,15700,02/08/2022,video,208,54,"2 vegan bratwursts , 4 tbsp cooked sauerkraut , 1 avocado , 1 tsp sriracha (hot sauce) , 1 lime , 1 tomato , 2 hot dog buns , 3 tsp mayonnaise",2
4468752,HFI-3,15700,27/07/2022,video,2063,148,"4 hard-boiled eggs , 2 tbsp Greek yogurt , 1 tsp mustard , handful of chives",1
9407459,HFI-3,15700,21/07/2022,picture,309,67,"80ml espresso , 1 egg , 50 ml almond milk , 3 tbsp cinnamon , 8 slices of baguette , 1 peach , handful of red fruit , dash of greek yogurt",1
8636241,HFI-3,15700,15/07/2022,video,1113,147,"75 g chicken breast , 2 tsp gyros seasoning , 2 wraps , 1 slice Milner cheese , 2 tbsp passata , 1/2 red onion , 20 g grated cheese 30+ , 2 tbsp tzatziki , handful of arugula",1
8637878,HFI-3,15700,14/07/2022,video,222,65,"5 eggs , 200 ml almond milk , 100 g flour , 50 g chicken breast , 2 slices of cheese , handful of chives",4
1297745,HFI-3,15700,07/07/2022,video,280,45,"1 white onion , 200 g fries , 250 g steak , 40 g young mature cheese , 2 tbsp pickles slices , drizzle of mustard , drizzle of ketchup",2
3990265,HFI-3,15700,05/07/2022,video,3078,249,"90 g oat flour , 75 g whey protein , 3 tsp baking powder , 10 g cocoa powder , 120 g applesauce , 100 g Greek yogurt , 180 ml soy milk , 8 ml sweetener , 3 g red food coloring , 200 g dairy spread light , 3 tsp vanilla aroma , 3 ml sweetener",6
2939387,HFI-3,15700,30/06/2022,picture,409,63,"2 steaks , 160 g fresh spaghetti , 50 g dairy spread light , 25 g pesto , 150 g cherry tomatoes",2
4576615,HFI-3,15700,29/06/2022,video,292,83,"30 g oatmeal , 100 g low-fat quark , 1 cup of coffee , 50 ml plant-based milk , 50 g protein powder , 1 tbsp chia seeds , 2 tbsp instant coffee , 2 tbsp water , 1 tbsp sugar",1
5803026,HFI-3,15700,22/06/2022,video,850,93,"200 g chicken breast , 1/4 bag of shoarma herbs , 1 red onion , 4 tbsp tomato puree , 2 naan breads , 80 g mozzarella light , handful of iceberg lettuce , 1/2 tomato , cup of garlic sauce",2
6959070,HFI-3,15700,17/06/2022,video,282,63,"100 g flour , 20 g almond flour , 50g whey protein , 1 sachet baking powder , 200 ml almond milk , 100 g quark , 2 eggs , 1 banana , 70 g applesauce , 40 g peanut butter , handful of Walnuts , handful of dark chocolate",1
6505660,HFI-3,15700,15/06/2022,video,700,107,"10 strawberries , 150 g low-fat quark , 2 tbsp protein powder , 1 tbsp dairy spread light , 2 speculoos cookies",1
3465504,HFI-3,15700,09/06/2022,video,398,103,"30 g oatmeal , 50 g low-fat quark , 100 ml almond milk , 40g whey protein , 10 g speculoos pasta , handful of fruit , 2 speculoos cookies",1
3480307,HFI-3,15700,07/06/2022,picture,328,85,"20 g granola , 150 g dairy spread light , 150 g low-fat quark , 2 tsp vanilla aroma , 50 g strawberry , 50 g strawberry jam light , handful of red fruit",1
7569189,HFI-3,15700,03/06/2022,video,1109,89,"100 g tuna , 3 tbsp low-fat quark , 2 tsp tomato puree , 2 tsp mild mustard , Pinch of paprika powder , 1 egg",1
3869448,HFI-3,15700,01/06/2022,picture,541,67,"2 wraps , 1 tsp smoked paprika powder , 30 g grated cheese , 200 g lean ground beef , 1 bag taco seasoning , 1 red bell pepper , 20 g corn , 20 g black beans , 20 g kidney beans , 25 g cottage cheese , Coarse sea salt , 1/2 avocado",2
6488890,HFI-3,15700,31/06/2022,video,376,60,"40 g speculoos , 40 g dark chocolate , 3 rice cakes , 1 handful of granola , pinch of sea salt",1
6562359,HFI-3,15700,20/06/2022,video,587,79,"115 g flour , 250 ml almond milk , 1 tbsp cinnamon , 1 tbsp sugar",1
6651431,HFI-3,15700,17/06/2022,video,437,74,"2 slices of white bread , 1 tbsp honey mustard , 2 slices of cheese , 1 egg , 50 ml milk , 50 g smoked salmon , 1/2 avocado , 1/2 tomato",1
6651102,HFI-3,15700,12/06/2022,video,1006,147,"250 g asparagus , 1 tsp pesto , 25 g truffle burrata , 50 g serrano ham , 15 g walnuts",1
3613581,HFI-3,15700,10/06/2022,video,1245,147,"12 speculoos biscuits , 100 protein powder , 100 ml almond milk",1
8766344,HFI-3,15700,04/06/2022,video,372,67,"200 g gnocchi , 1 red onion , 1 garlic clove , 50 g sun-dried tomato , 100 ml cooking cream , 1 splash of white wine , 150 g turkey bacon , 300 g white asparagus , handful of arugula",2
1914364,HFI-3,15700,02/06/2022,video,1314,136,"130 g sushi rice , 180 g tuna , 1 tbsp sriracha , 2 tbsp quark , 1 tbsp soy sauce , 1/4 avocado , 1 tsp mayonnaise , 1 tsp soy sauce , 1/4 spring onion",1
8477335,HFI-3,15700,26/05/2022,video,434,88,"115 g flour , 250 ml almond milk , 200 g chocolate pudding , 1 tbsp nougatine",1
1698434,HFI-3,15700,19/05/2022,picture,401,48,"1 steak , 1 red onion , 2 tbsp vinegar , 2 tbsp water , 2 tsp sweetener , pinch of salt , 1/2 red pepper , 1 cucumber , 1 tomato , 50 g Greek yogurt , 1/2 lime , handful of iceberg lettuce , 1 wrap",1
3920556,HFI-3,15700,17/06/2022,picture,313,67,"2 slices of white bread , 1 tbsp honey mustard , 2 slices of cheese , 1 egg , 50 ml milk , 50 g smoked salmon , 1/2 avocado , 1/2 tomato",1
9657205,HFI-3,15700,11/06/2022,video,670,94,"100 g chicken breast , 100 g bell pepper , 1 cucumber , 1 tbsp taco sauce , 50 g corn , 50 g kidney beans , 50 g dairy spread light , 2 tbsp bbq sauce , 30 g sour cream , 10 g cheese , 1 handful of nachos",2
9043171,HFI-3,15700,08/06/2022,video,443,58,"30 g oatmeal , 150 g protein powder , 75 ml almond milk , 150 g Greek yogurt , 2 tbsp cinnamon",1
3887055,HFI-4,28500,04/08/2022,video,235,22,"5 tbsp low-fat quark , 1 tbsp raw cocoa powder , 2 tsp sweetener , Handful of cherries",1
9082329,HFI-4,28500,03/08/2022,video,292,21,"3 tbsp low-fat quark , 3 tbsp oatmeal , 1 banana , 50 g protein powder , 1 tsp sweetener. , Half banana , 1 tbsp low-fat quark , 1 tsp sweetener.",1
9063023,HFI-4,28500,02/08/2022,video,443,20,"1 lemon , 50 ml coconut milk , 1 tangerine , 2 tsp sweetener",1
1928266,HFI-4,28500,30/07/2022,video,370,28,"150 grams dÃ¶ner , 1 healthier pizza base , 1 bell pepper , 1 handful grated mozzarella , 1 tbsp olive oil , pinch of pepper , pinch of salt , 2 tbsp low-fat quark , 1 tsp garlic powder , 1 tsp onion powder , 1 cucumber.",1
9105191,HFI-4,28500,28/07/2022,video,261,22,"1 slice of brown bread , 1 tomato , dash of olive oil , 1 clove of garlic , pinch of pepper , pinch of salt",1
4948047,HFI-4,28500,25/07/2022,video,591,34,"Pizza Bottom , 3 tbsp tomato sauce , 1 tbsp pesto , 1 ball of mozzarella , Handful of cherry tomatoes , handful of basil",1
8769776,HFI-4,28500,23/07/2022,video,836,45,"1 apple , 2 tsp chia seeds , 3 tbsp low-fat quark , 2 tbsp oatmeal , 1 tsp cinnamon , 1 tsp sweetener , 1 tsp honey , 2 tbsp vanilla quark , 1 tbsp honey",1
9026917,HFI-4,28500,14/07/2022,video,275,23,"4 tbsp oatmeal , 2 bananas , 2 eggs , 50 gr protein powder , 1 tsp sweetener , 3 tbsp low-fat cottage cheese , 2 tsp food coloring",1
4625844,HFI-4,28500,13/07/2022,video,389,26,"1 banana , 1 handful of chocolate chips , 1 tbsp chocolate chip cookie ice cream",1
6165779,HFI-4,28500,06/07/2022,video,934,35,"2 sweet peppers , 6 tomatoes , 200ml water , 2 tsp garden herbs , pinch of salt , pinch of pepper , 1 tbsp low-fat quark",1
7170761,HFI-4,28500,04/07/2022,video,260,18,"1 eggplant , 1 bell pepper , 1 onion , 2 cloves of garlic , 2 tsp couscous herbs , pinch of pepper , pinch of salt , 200 grams couscous , handful of arugula , Handful of apricots , handful of raisins",1
1407644,HFI-4,28500,03/07/2022,video,241,23,"1 wrap , 2 tbsp tomato sauce) , cup of vegan shawarma , 1 tsp garlic powder , 1 tsp paprika powder , 2 tbsp low-fat cottage cheese , 1 tsp garlic powder , juice of half a lemon",1
2236194,HFI-4,28500,30/06/2022,video,388,30,"3 tbsp oatmeal , splash of oat milk , 1 scoop white chocolate protein , 1 tsp chia seeds , 1 tbsp low-fat vanilla curd , 1 tsp sweetener , 1 tbsp light cream cheese , 1 tbsp low-fat cottage cheese , 1 tsp sweetener , handful of strawberries",1
6278511,HFI-4,28500,24/06/2022,video,554,30,"2 potatoes , 1 eggplant , 1 zucchini , 1 tbsp olive oil , 1 tbsp Italian herbs",1
1548799,HFI-4,28500,20/06/2022,video,345,13,"250g truffle ravioli , handful of iceberg lettuce , 1 tomato , 3 oyster mushrooms , pinch of pepper , pinch of salt to taste",1
9559838,HFI-4,28500,16/06/2022,video,685,31,"1 slice of brown bread , 1/2 avocado , 20 gr feta cheese , 3 strawberries , pinch of pepper , pinch of salt",1
1639943,HFI-4,28500,15/06/2022,video,427,22,"1 vegetable wrap , 2 tbsp low-fat quark , 1 tsp garlic powder , half a lime , half cucumber , chicken dÃ¶ner",1
7701459,HFI-4,28500,13/06/2022,video,555,21,"200 grams of cauliflower rice , 1 tbsp soy sauce , 1 tbsp sesame oil , pinch of salt , half avocado , 50 gr surimi , 50 gr crayfish , 1 tsp caviar , 1 tbsp sesame seeds",1
4544486,HFI-4,28500,12/06/2022,video,182,15,"200 grams of oatmeal , 3 tbsp apple sauce , 2 tbsp low-fat cottage cheese , 1 tsp Sweetener , 3 tbsp cocoa powder",1
5284337,HFI-4,28500,10/06/2022,video,368,42,"150 grams almond flour , 1 cup of oat flour , 50g protein powder , 1 tsp sweetener , 4 tbsp peanut butter , 2 tbsp honey , 1 tsp sweetener , 1 tbsp coconut oil , handful of peanuts , 1 tbsp dark chocolate",1
7702652,HFI-4,28500,09/06/2022,video,415,32,"1 vegetable wrap , hand or mozzarella light , 7 slices vegan pepperoni , 2 tbsp tomato sauce , 2 tsp Italian herbs",1
2955167,HFI-4,28500,07/06/2022,video,1251,66,"1 large apple , 2 pinches of cinnamon , splash of water , 1 vegetable wrap , 2 tbsp low-fat vanilla quark , 1 tsp honey",1
6280426,HFI-4,28500,04/06/2022,video,416,29,"70 grams of fresh pasta , 150 grams spinach , half lemon , 20 g feta cheese , pinch of pepper , pinch of salt",1
3856376,HFI-4,28500,03/06/2022,video,385,21,"slice of dark bread , 2 tbsp hummus , half avocado , 1/8 cucumber , 1 egg , hand cress , pinch of pepper , pinch of salt",1
7169280,HFI-4,28500,01/06/2022,video,258,10,"1 slice of wholemeal bread , 2 eggs , pinch of cinnamon , 1 tsp sweetener , 2 tbsp low-fat vanilla quark , 3 Strawberries",1
7333408,HFI-4,28500,30/05/2022,video,1123,38,"150 grams lean ground beef , 1/2 avocado , 4 tbsp low-fat quark , 2 tsp garlic powder , 1/2 lemon , 1 tbsp olive oil",1
9055404,HFI-4,28500,28/05/2022,video,259,10,"200 g Tuna , 1 tbsp low-fat cottage cheese , 1 tsp sambal , pinch of pepper , pinch of salt to taste , slice of brown bread , handful of grated cheese",1
8924209,HFI-5,13200,29/07/2022,picture,224,10," 400 grams of potatoes , 500 grams of green beans ,  200 g tuna ,  handful of Olives , handful of cherry tomatoes ,  1 red onion , pinch of salt , pinch of pepper",2
4884328,HFI-5,13200,05/07/2022,picture,243,13,"500 grams of broccoli , 250 grams potato , 1 onion , 1 cube of vegetable stock , 750ml water , pinch of pepper , handful of oregano",2
5828464,HFI-5,13200,03/07/2022,picture,371,27," 200 grams of MonChou ,  250 ml whipped cream ,  100 grams of white caster sugar ,  2 sachets of vanilla sugar ,  1 pack of bastogne biscuit ,  100 grams of butter",1
4753478,HFI-5,13200,01/07/2022,picture,244,16,"150 grams of whole cottage cheese , 1 apricot , 1/2 banana , 4 strawberries , 1 tsp linseed , 1 tsp chia seeds , handful of pumpkin seeds , handful of oat flakes",1
1716729,HFI-5,13200,26/06/2022,picture,360,12," handful of cherry tomatoes , splash of balsamic vinegar , dash of Olive oil , 1 red onion , pinch or Pepper , pinch of salt , handful of basil",2
2928347,HFI-5,13200,15/06/2022,picture,349,11,"160 grams penne , 1 onion , 2 cloves of garlic , Can of tomato puree , 200 ml tomato passata , 20 grams of butter , 1 shot of vodka , 3 tablespoons sour cream , 40 grams of parmesan cheese , 0.5 teaspoon chili flakes , handful of fresh basil , pinch of salt , pinch of pepper",2
